kanji,furigana,meaning,tags,guid,romaji,hanviet
作法,さほう,"manners, etiquette, propriety",JLPT JLPT_2 JLPT_3,HYeQ[!t+v+,sahou,TÁC PHÁP
様々,さまざま,"varied, various",JLPT JLPT_2 JLPT_3,l>?/o{CjV<,samazama,DẠNG
冷ます,さます,"to cool, to let cool",JLPT JLPT_2 JLPT_3,m(o0n4^}Z$,samasu,LÃNH
覚ます,さます,to awaken,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ,samasu,GIÁC
冷める,さめる,"to become cool, to wear off",JLPT JLPT_2 JLPT_3,LR.A;82:W|,sameru,LÃNH
覚める,さめる,"to wake, to wake up",JLPT JLPT_2 JLPT_3,Dob+O4(+<L,sameru,GIÁC
左右,さゆう,left and right; influence,JLPT JLPT_2 JLPT_3,d8br}6f4&T,sayuu,TẢ HỮU
皿,さら,"plate, dish",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih,sara,MÃNH
更に,さらに,"furthermore, moreover",JLPT JLPT_2 JLPT_3,n=YLy+|9V>,sarani,CANH
去る,さる,"to leave, to go away",JLPT JLPT_2 JLPT_3,q:@^dVE|Ux,saru,KHỨ
猿,さる,monkey,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm,saru,VIÊN
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3,"b-,^J/-<a(",sawagi,TAO
参加,さんか,participation,JLPT JLPT_2 JLPT_3,NJ??D?6U!^,sanka,THAM GIA
参考,さんこう,"reference, consultation",JLPT JLPT_2 JLPT_3,Han8<B?^r0,sankou,THAM KHẢO
賛成,さんせい,"approval, agreement",JLPT JLPT_2 JLPT_3,"emfZ/!E,?[",sansei,TÁN THÀNH
酸性,さんせい,acidity,JLPT JLPT_2 JLPT_3,geVhjMXt@#,sansei,TOAN TÍNH
酸素,さんそ,oxygen,JLPT JLPT_2 JLPT_3,DM##q[%RFu,sanso,TOAN TỐ
氏,し,"family name, lineage",JLPT JLPT_2 JLPT_3,LAOK_nHPS/,shi,THỊ
詩,し,poem; poetry,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1,shi,THI
幸せ,しあわせ,"happiness, blessing",JLPT JLPT_2 JLPT_3,MYpn~@*11o,shiawase,HẠNH
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l,jiinzu,
ジェット機,ジェットき,jet plane,JLPT JLPT_2 JLPT_3,fS!]EX&j7m,jiettoki,CƠ
四角,しかく,square,JLPT JLPT_2 JLPT_3,J[L(f7xE~B,shikaku,TỨ GIÁC
直に,じかに,"immediately, readily, directly",JLPT JLPT_2 JLPT_3,"Gui,0]IdY5",jikani,TRỰC
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#],shikamo,
四季,しき,four seasons,JLPT JLPT_2 JLPT_3,j=w0weSQi),shiki,TỨ QUÝ
直,じき,"immediately, soon, shortly",JLPT JLPT_2 JLPT_3,wd?tx<3Bac,jiki,TRỰC
時期,じき,"time, season, period",JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>,jiki,THÌ KÌ
支給,しきゅう,"payment, allowance",JLPT JLPT_2 JLPT_3,MpCDrKuR@c,shikyuu,CHI CẤP
至急,しきゅう,"urgent, pressing",JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz",shikyuu,CHÍ CẤP
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT JLPT_2 JLPT_3,E|Rw@W(/Em,shikirini,
刺激,しげき,"stimulus, impetus, incentive",JLPT JLPT_2 JLPT_3,PD*^rLK60i,shigeki,THỨ KÍCH
資源,しげん,resources,JLPT JLPT_2 JLPT_3,m(PG+T&|gr,shigen,TƯ NGUYÊN
事件,じけん,"event, affair, incident",JLPT JLPT_2 JLPT_3,MbFCnlA+g8,jiken,SỰ KIỆN
時刻,じこく,"time, hour",JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n",jikoku,THÌ KHẮC
自殺,じさつ,suicide,JLPT JLPT_2 JLPT_3,y#JDw}f8E1,jisatsu,TỰ SÁT
事実,じじつ,"fact, truth, reality",JLPT JLPT_2 JLPT_3,qUB-Jtt?i`,jijitsu,SỰ THỰC
支出,ししゅつ,"expenditure, expenses",JLPT JLPT_2 JLPT_3,PrmuroD(_w,shishutsu,CHI XUẤT
事情,じじょう,"circumstances, situation, reasons",JLPT JLPT_2 JLPT_3,B&D.VmCJRe,jijou,SỰ TÌNH
詩人,しじん,poet,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr,shijin,THI NHÂN
自身,じしん,oneself,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA,jishin,TỰ THÂN
沈む,しずむ,to sink; to feel depressed,JLPT JLPT_2 JLPT_3,v(wY-5e=dv,shizumu,TRẦM
自然,しぜん,"nature, spontaneous",JLPT JLPT_2 JLPT_3,K#D]Lme)]J,shizen,TỰ NHIÊN
思想,しそう,"thought, idea",JLPT JLPT_2 JLPT_3,"udM,dvR}EZ",shisou,TƯ TƯỞNG
舌,した,tongue,JLPT JLPT_2 JLPT_3,i22E-x*lSS,shita,THIỆT
次第,しだい,order; circumstances; immediate(ly),JLPT JLPT_2 JLPT_3,m7IQESq>:Z,shidai,THỨ ĐỆ
従う,したがう,"to abide (by the rules), to obey",JLPT JLPT_2 JLPT_3,jQOK[Z2G2a,shitagau,TÙNG
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3,zE+XZL-yO%,shitagatte,
親しい,したしい,"intimate, close (e.g., friend)",JLPT JLPT_2 JLPT_3,JLb1]#eUH.,shitashii,THÂN
質,しつ,"quality, nature (of person)",JLPT JLPT_2 JLPT_3,i9bGgE8&)u,shitsu,CHẤT
失業,しつぎょう,unemployment,JLPT JLPT_2 JLPT_3,L*e(K1S8y>,shitsugyou,THẤT NGHIỆP
湿気,しっけ,"moisture, humidity, dampness",JLPT JLPT_2 JLPT_3,mI:_~nX$Y!,shikke,THẤP KHÍ
実験,じっけん,lab work; experiment,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;,jikken,THỰC NGHIỆM
実現,じつげん,"implementation, materialization, realization",JLPT JLPT_2 JLPT_3,fGH.>rJnym,jitsugen,THỰC HIỆN
実行,じっこう,"practice, execution (e.g., program), realization",JLPT JLPT_2 JLPT_3,O_Qp[P4rQP,jikkou,THỰC HÀNH
実際,じっさい,in fact; in actuality,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,",jissai,THỰC TẾ
実施,じっし,"enforcement, carry out, operation",JLPT JLPT_2 JLPT_3,dXLqmB^MiP,jisshi,THỰC THI
湿度,しつど,humidity,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn,shitsudo,THẤP ĐỘ
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3,Nkvz[eNt`n,jitto,
実に,じつに,"indeed, truly, surely",JLPT JLPT_2 JLPT_3,I|OQWMaQog,jitsuni,THỰC
実は,じつは,actually; in fact,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F,jitsuha,THỰC
失望,しつぼう,"disappointment, despair",JLPT JLPT_2 JLPT_3,mi8g|r~Txf,shitsubou,THẤT VỌNG
実力,じつりょく,ability; force,JLPT JLPT_2 JLPT_3,F5g81kES4+,jitsuryoku,THỰC LỰC
支店,してん,branch store (office),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>,shiten,CHI ĐIẾM
指導,しどう,"leadership, guidance, coaching",JLPT JLPT_2 JLPT_3,AKsjeKTYcK,shidou,CHỈ ĐẠO
自動,じどう,"automatic, self-motion",JLPT JLPT_2 JLPT_3,O4.zUw/o_S,jidou,TỰ ĐỘNG
児童,じどう,"children, juvenile",JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq",jidou,NHI ĐỒNG
品,しな,"thing, article, goods",JLPT JLPT_2 JLPT_3,bDnAvhtlH7,shina,PHẨM
支配,しはい,"rule, control, direction",JLPT JLPT_2 JLPT_3,GJx2Cizi1x,shihai,CHI PHỐI
芝居,しばい,"play, drama",JLPT JLPT_2 JLPT_3,gtSlTkyCFW,shibai,CHI CƯ
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3,oKzAa``eqH,shibashiba,
芝生,しばふ,lawn,JLPT JLPT_2 JLPT_3,"wbx:,PABM*",shibafu,CHI SANH
支払,しはらい,payment,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`,shiharai,CHI PHẤT
支払う,しはらう,to pay,JLPT JLPT_2 JLPT_3,"ND2,<K].}x",shiharau,CHI PHẤT
死亡,しぼう,death,JLPT JLPT_2 JLPT_3,zYjIN3r3C,shibou,TỬ VONG
資本,しほん,"funds, capital",JLPT JLPT_2 JLPT_3,K]eJp4bmn-,shihon,TƯ BỔN
姉妹,しまい,sisters,JLPT JLPT_2 JLPT_3,D=K+>4{9gs,shimai,TỈ MUỘI
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3,lG^NNUo)xn,shimatta (kan),
自慢,じまん,"pride, boast",JLPT JLPT_2 JLPT_3,I/xy:2]J/|,jiman,TỰ MẠN
地味,じみ,"quiet, plain, conservative",JLPT JLPT_2 JLPT_3,o(yU(Vt?_.,jimi,ĐỊA VỊ
示す,しめす,"to show, to indicate",JLPT JLPT_2 JLPT_3,Jd8*LeirRj,shimesu,KÌ
占める,しめる,to take up; to account for,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F,shimeru,CHIÊM
湿る,しめる,"to be wet, to be damp",JLPT JLPT_2 JLPT_3,uFiSD0nBbH,shimeru,THẤP
下,しも,"under, below, beneath",JLPT JLPT_2 JLPT_3,"NEdu]f-jA,",shimo,HẠ
霜,しも,frost,JLPT JLPT_2 JLPT_3,r%B(k2*%-2,shimo,SƯƠNG
借金,しゃっきん,"debt, loan, liabilities",JLPT JLPT_2 JLPT_3,HTrhI~ql4k,shakkin,TÁ KIM
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF,shaberu,
週,しゅう,week,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t",shuu,CHU
州,しゅう,"state, province",JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0",shuu,CHÂU
銃,じゅう,gun,JLPT JLPT_2 JLPT_3,g}R=q_AV`],juu,SÚNG
周囲,しゅうい,"surroundings, circumference, environs",JLPT JLPT_2 JLPT_3,k;vO#x`Yq;,shuui,CHU VI
収穫,しゅうかく,"harvest, crop, ingathering",JLPT JLPT_2 JLPT_3,Q1;gC;3=ME,shuukaku,THU HOẠCH
宗教,しゅうきょう,religion,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ,shuukyou,TÔNG GIÁO
