kanji,furigana,meaning,tags,guid,romaji,hanviet
恋する,こいする,"to fall in love with, to love",JLPT_1 JLPT,x>yH@(e$>B,koisuru,LUYẾN
甲,こう,1st in rank; shell,JLPT_1 JLPT,gr(P$T&hE),kou,GIÁP
～光,～こう,light,JLPT_1 JLPT,dR[Ye:I0gD,~kou,QUANG
好意,こうい,"good will, favor, courtesy",JLPT_1 JLPT,f{|~G`MfSc,koui,HẢO Ý
行為,こうい,"act, deed, conduct",JLPT_1 JLPT,"x,?`vew_Y^",koui,HÀNH VI
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1 JLPT,u5DPHkD^67,goui,HỢP Ý
工学,こうがく,engineering,JLPT_1 JLPT,nLBSX>%S~{,kougaku,CÔNG HỌC
抗議,こうぎ,"protest, objection",JLPT_1 JLPT,N%yl^:99*x,kougi,KHÁNG NGHỊ
合議,ごうぎ,"consultation, conference",JLPT_1 JLPT,g]f7CW]TnO,gougi,HỢP NGHỊ
皇居,こうきょ,Imperial Palace,JLPT_1 JLPT,s3?rVk?BGD,koukyo,HOÀNG CƯ
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1 JLPT,w5c/V*0:/6,koukyou,HẢO HUỐNG
鉱業,こうぎょう,mining industry,JLPT_1 JLPT,w)+*p6qI~s,kougyou,KHOÁNG NGHIỆP
興業,こうぎょう,starting a business; industry,JLPT_1 JLPT,qy~me*:#E{,kougyou,HƯNG NGHIỆP
高原,こうげん,"tableland, plateau",JLPT_1 JLPT,GF2Ak`BNv1,kougen,CAO NGUYÊN
交互,こうご,"mutual, reciprocal, alternate",JLPT_1 JLPT,i<WWSGhMtl,kougo,GIAO HỖ
煌々と,こうこうと,brightly,JLPT_1 JLPT,wYY;?*yl=I,koukouto,HOÀNG
考古学,こうこがく,archeology,JLPT_1 JLPT,CYD1fRQ8EC,koukogaku,KHẢO CỔ HỌC
工作,こうさく,"handicraft, maneuvering",JLPT_1 JLPT,wzz*)FRo9<,kousaku,CÔNG TÁC
耕作,こうさく,"cultivation, farming",JLPT_1 JLPT,hB|/|8Uy}2,kousaku,CANH TÁC
鉱山,こうざん,mine,JLPT_1 JLPT,"KT!enF:=,%",kouzan,KHOÁNG SAN
講習,こうしゅう,"short course, training",JLPT_1 JLPT,g(z7%o&?^,koushuu,GIẢNG TẬP
口述,こうじゅつ,verbal statement,JLPT_1 JLPT,C~8oU(cK0?,koujutsu,KHẨU THUẬT
控除,こうじょ,"subsidy, deduction",JLPT_1 JLPT,s2uW?Na1t%,koujo,KHỐNG TRỪ
交渉,こうしょう,negotiation,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,uv@U[?I@AF,koushou,GIAO THIỆP
高尚,こうしょう,"high, noble, refined",JLPT_1 JLPT,Ndw<}.:V2o,koushou,CAO THƯỢNG
向上,こうじょう,"rise, improvement, progress",JLPT_1 JLPT,Qcz@t2UD0),koujou,HƯỚNG THƯỢNG
行進,こうしん,"march, parade",JLPT_1 JLPT,A=w}ZE@917,koushin,HÀNH TIẾN
香辛料,こうしんりょう,spices,JLPT_1 JLPT,ce!{r.1}~3,koushinryou,HƯƠNG TÂN LIÊU
降水,こうすい,"rainfall, precipitation",JLPT_1 JLPT,"pb1#Y263n,",kousui,HÀNG THỦY
洪水,こうずい,flood,JLPT_1 JLPT,wakC-uKaq},kouzui,HỒNG THỦY
合成,ごうせい,"synthetic, mixed",JLPT_1 JLPT,c^4E@A0[92,gousei,HỢP THÀNH
公然,こうぜん,openly,JLPT_1 JLPT,M(>QOkIhfA,kouzen,CÔNG NHIÊN
抗争,こうそう,"dispute, resistance",JLPT_1 JLPT,Ayw{S[ULVi,kousou,KHÁNG TRANH
構想,こうそう,"plan, plot, idea, conception",JLPT_1 JLPT,HJ3]TaFI5x,kousou,CẤU TƯỞNG
後退,こうたい,"retreat, backspace",JLPT_1 JLPT,Hg(g(Ch73j,koutai,HẬU THỐI
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1 JLPT,sz+BIfx<J$,koutaku,QUANG TRẠCH
公団,こうだん,public corporation,JLPT_1 JLPT,C&5}~^z)ts,koudan,CÔNG ĐOÀN
好調,こうちょう,"satisfactory, in good shape",JLPT_1 JLPT,fn+k2uN^.*,kouchou,HẢO ĐIỀU
口頭,こうとう,oral,JLPT_1 JLPT,mWZ1nL&l+A,koutou,KHẨU ĐẦU
講読,こうどく,reading,JLPT_1 JLPT,"cbt]L<,==)",koudoku,GIẢNG ĐỘC
購読,こうどく,subscription,JLPT_1 JLPT,BPBnR~`=Cm,koudoku,CẤU ĐỘC
購入,こうにゅう,"purchase, buy",JLPT_1 JLPT,mN.]${Ep@o,kounyuu,CẤU NHẬP
公認,こうにん,"official recognition, authorization",JLPT_1 JLPT,f=;(Z+KSn*,kounin,CÔNG NHẬN
光熱費,こうねつひ,cost of fuel and light,JLPT_1 JLPT,CBInEbAiwn,kounetsuhi,QUANG NHIỆT PHÍ
購買,こうばい,"purchase, buy",JLPT_1 JLPT,m|%voYE^yW,koubai,CẤU MÃI
好評,こうひょう,"popularity, favorable reputation",JLPT_1 JLPT,PN?X>r5#3$,kouhyou,HẢO BÌNH
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1 JLPT,iWHq@iV7/S,koufu,GIAO PHÓ
公募,こうぼ,"public appeal, public contribution",JLPT_1 JLPT,zuO/%#|pw9,koubo,CÔNG MỘ
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1 JLPT,K0cz7g4lOn,koumyou,XẢO DIỆU
公用,こうよう,"government business, public use, public expense",JLPT_1 JLPT,E{n/tl9=Ih,kouyou,CÔNG DỤNG
小売,こうり,retail,JLPT_1 JLPT,c_Z6-bZ>!E,kouri,TIỂU MẠI
効率,こうりつ,efficiency,JLPT_1 JLPT,zkc6-]4~)6,kouritsu,HIỆU SUẤT
公立,こうりつ,public institution,JLPT_1 JLPT,FUSldz(S$f,kouritsu,CÔNG LẬP
護衛,ごえい,"guard, convoy, escort",JLPT_1 JLPT,Bs7a.5p1{r,goei,HỘ VỆ
コーナー,コーナー,corner,JLPT_1 JLPT,n/T(.dj~.j,koonaa,
小柄,こがら,"small, diminutive",JLPT_1 JLPT,p|m2.?zBm2,kogara,TIỂU BÍNH
小切手,こぎって,"cheque, check",JLPT_1 JLPT,vh>Pgi:y!n,kogitte,TIỂU THIẾT THỦ
国産,こくさん,domestic products,JLPT_1 JLPT,NVGuI`wyWr,kokusan,QUỐC SẢN
国定,こくてい,"state-sponsored, national",JLPT_1 JLPT,K:.NA{MA#,kokutei,QUỐC ĐỊNH
告白,こくはく,"confession, acknowledgment",JLPT_1 JLPT,D/-Yon@zj7,kokuhaku,CÁO BẠCH
国防,こくぼう,national defense,JLPT_1 JLPT,gB_-ioo>5E,kokubou,QUỐC PHÒNG
国有,こくゆう,national ownership,JLPT_1 JLPT,qhprC(Et1a,kokuyuu,QUỐC HỮU
極楽,ごくらく,paradise,JLPT_1 JLPT,MY-u/w:|X`,gokuraku,CỰC LẠC
国連,こくれん,"U.N., United Nations",JLPT_1 JLPT,PWdSCAXCS{,kokuren,QUỐC LIÊN
焦げ茶,こげちゃ,dark brown,JLPT_1 JLPT,z#D(l+D|+d,kogecha,TIÊU TRÀ
語源,ごげん,"word root, word derivation, etymology",JLPT_1 JLPT,"wW7;mB,H-n",gogen,NGỮ NGUYÊN
心地,ここち,"feeling, sensation, mood",JLPT_1 JLPT,HRZ-ZZ((63,kokochi,TÂM ĐỊA
心得,こころえ,"knowledge, information",JLPT_1 JLPT,r]B:&#9/Oj,kokoroe,TÂM ĐẮC
心掛け,こころがけ,"readiness, intention, aim",JLPT_1 JLPT,v|gKw*kSA<,kokorogake,TÂM QUẢI
心掛ける,こころがける,"to bear in mind, to aim to do",JLPT_1 JLPT,xF|-#cu_O[,kokorogakeru,TÂM QUẢI
志,こころざし,"will, intention, motive",JLPT_1 JLPT,J^EH*N|S>D,kokorozashi,CHÍ
志す,こころざす,"to plan, to intend, to aspire to",JLPT_1 JLPT,zc/071N?*?,kokorozasu,CHÍ
心強い,こころづよい,"heartening, reassuring",JLPT_1 JLPT,K>pZg]2z_[,kokorozuyoi,TÂM CƯỜNG
心細い,こころぼそい,"helpless, hopeless, discouraging",JLPT_1 JLPT,ve[sU52iIO,kokorobosoi,TÂM TẾ
試み,こころみ,"trial, experiment",JLPT_1 JLPT,LnQ-7#~J-i,kokoromi,THÍ
試みる,こころみる,"to try, to test",JLPT_1 JLPT,qG!ugw]O{9,kokoromiru,THÍ
快い,こころよい,"pleasant, agreeable",JLPT_1 JLPT,eXTY5f2Ubn,kokoroyoi,KHOÁI
誤差,ごさ,error,JLPT_1 JLPT,bE*}iimu/k,gosa,NGỘ SOA
ございます (かん),ございます (かん),"to be (polite, to exist)",JLPT_1 JLPT,g2<)LlaRj=,gozaimasu (kan),
孤児,こじ,orphan,JLPT_1 JLPT,Nru>c@<pc2,koji,CÔ NHI
こじれる,こじれる,"to get complicated, to grow worse",JLPT_1 JLPT,jQE(/ITykr,kojireru,
こす (みずを～),こす (みずを～),"to strain, to filter",JLPT_1 JLPT,P2WNAwMh[2,kosu (mizuwo~),
梢,こずえ,treetop,JLPT_1 JLPT,"P{..MI,|Mb",kozue,SAO
個性,こせい,"individuality, personality, idiosyncrasy",JLPT_1 JLPT,EsL6l#sj?m,kosei,CÁ TÍNH
戸籍,こせき,"census, family register",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,JOc{[NV4x8,koseki,HỘ TỊCH
古代,こだい,ancient times,JLPT_1 JLPT,s_N1oO.lmA,kodai,CỔ ĐẠI
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",JLPT_1 JLPT,O}EMl{I]K-,kotatsu,
こだわる,こだわる,"to fuss over, to be particular about",JLPT_1 JLPT,Dw-&[Gy8N`,kodawaru,
誇張,こちょう,exaggeration,JLPT_1 JLPT,c]NsRC|}O%,kochou,KHOA TRƯƠNG
こつ (をつかむ),こつ (をつかむ),"secret, trick, hang",JLPT_1 JLPT,qPHur}V8b$,kotsu (wotsukamu),
滑稽,こっけい,"funny, humorous, comical",JLPT_1 JLPT,v>_m`mFbvz,kokkei,HOẠT KÊ
国交,こっこう,diplomatic relations,JLPT_1 JLPT,d-(zI.D]7},kokkou,QUỐC GIAO
骨董品,こっとうひん,curio,JLPT_1 JLPT,Dr0mqScf_b,kottouhin,CỐT PHẨM
固定,こてい,"fixation, fixing (e.g., salary, capital)",JLPT_1 JLPT,g$6E|N|S:$,kotei,CỐ ĐỊNH
事柄,ことがら,"matter, thing, affair, circumstance",JLPT_1 JLPT,F=ad!I0A}O,kotogara,SỰ BÍNH
孤独,こどく,"isolation, loneliness, solitude",JLPT_1 JLPT,"cT&=x,mI2c",kodoku,CÔ ĐỘC
ことごとく,ことごとく,"altogether, entirely",JLPT_1 JLPT,dR[Sxf+^Ps,kotogotoku,
言付け,ことづけ,to leave a message,JLPT_1 JLPT,kU+Y{Q}2@W,kotozuke,NGÔN PHÓ
殊に,ことに,"especially, above all",JLPT_1 JLPT,en/8|n9S0h,kotoni,THÙ
粉々,こなごな,in very small pieces,JLPT_1 JLPT,Kmg$=%neFc,konagona,PHẤN
好ましい,このましい,"nice, likable, desirable",JLPT_1 JLPT,x#LKH<P4pQ,konomashii,HẢO
碁盤,ごばん,Go board,JLPT_1 JLPT,zlA@Kkn)Y,goban,KÌ BÀN
個別,こべつ,particular case,JLPT_1 JLPT,IS>`l#g_rF,kobetsu,CÁ BIỆT
ごまかす,ごまかす,"to deceive, to falsify, to misrepresent",JLPT_1 JLPT,p$tB:Q(vZY,gomakasu,
細やか,こまやか,"meager, modest",JLPT_1 JLPT,w6sGv9Z]7>,komayaka,TẾ
コマーシャル,コマーシャル,a commercial,JLPT_1 JLPT,pmxm=&|P?L,komaasharu,
込める,こめる,"to include, to put into",JLPT_1 JLPT,FCbb2pT+SZ,komeru,
コメント,コメント,comment,JLPT_1 JLPT,cplDpvT[1o,komento,
籠もる,こもる,"to seclude oneself, to be confined in",JLPT_1 JLPT,KBSxgcpn$F,komoru,LUNG
固有,こゆう,"characteristic, tradition, peculiar",JLPT_1 JLPT,yXV:}D_ozd,koyuu,CỐ HỮU
暦,こよみ,"calendar, almanac",JLPT_1 JLPT,jx:{}3HoK:,koyomi,LỊCH
凝らす,こらす,"to concentrate, to devote, to peer into",JLPT_1 JLPT,oJEMYEm^we,korasu,NGƯNG
ごらんなさい (かん),ごらんなさい (かん),"look, (please) try to do",JLPT_1 JLPT,N1BBvCZ=AZ,gorannasai (kan),
孤立,こりつ,"isolation, helplessness",JLPT_1 JLPT,xYDSYkNe4i,koritsu,CÔ LẬP
懲りる,こりる,"to learn by experience, to be disgusted with",JLPT_1 JLPT,vbJg<?=y%j,koriru,TRỪNG
凝る,こる,"to stiffen, to harden",JLPT_1 JLPT,p)T=z%i7F[,koru,NGƯNG
根気,こんき,"patience; perseverance, energy",JLPT_1 JLPT,GDCM!r*##2,konki,CĂN KHÍ
根拠,こんきょ,"basis, foundation",JLPT_1 JLPT,Grg-T-@C<M,konkyo,CĂN CỨ
混血,こんけつ,"mixed race, mixed parentage",JLPT_1 JLPT,saDmLPZfe~,konketsu,HỖN HUYẾT
コンタクト (レンズ),コンタクト (レンズ),contact; contact lens,JLPT_1 JLPT,DU{l0`Yee%,kontakuto (renzu),
昆虫,こんちゅう,"insect, bug",JLPT_1 JLPT,P^F+-mx?ec,konchuu,CÔN TRÙNG
根底,こんてい,"root, basis, foundation",JLPT_1 JLPT,g6v%#_YbHK,kontei,CĂN ĐỂ
混同,こんどう,"confusion, mixing, merger",JLPT_1 JLPT,"M?|],Xch]L",kondou,HỖN ĐỒNG
コントラスト,コントラスト,contrast,JLPT_1 JLPT,m2RkdF5Kfg,kontorasuto,
コントロール,コントロール,control,JLPT_1 JLPT,hZ|i&d%@k8,kontorooru,
コンパス,コンパス,compass,JLPT_1 JLPT,L6kv/h{mWx,konpasu,
根本,こんぽん,"foundation, root, base",JLPT_1 JLPT,I>Va~AQW*%,konpon,CĂN BỔN
財,ざい,"fortune, riches",JLPT_1 JLPT,Lg^]^#Fui$,zai,TÀI
再会,さいかい,"meeting again, reunion",JLPT_1 JLPT,nK{EZH)j58,saikai,TÁI HỘI
災害,さいがい,"calamity, disaster, misfortune",JLPT_1 JLPT,s/:E%{jbbX,saigai,TAI HẠI
細菌,さいきん,"bacillus, bacterium, germ",JLPT_1 JLPT,I!s+/_djx3,saikin,TẾ KHUẨN
細工,さいく,"work, craftsmanship, trick",JLPT_1 JLPT,ouX.|>$33M,saiku,TẾ CÔNG
採掘,さいくつ,mining,JLPT_1 JLPT,Qb&n#ag5.U,saikutsu,THẢI QUẬT
サイクル,サイクル,cycle,JLPT_1 JLPT,CwR.:*^K)],saikuru,
採決,さいけつ,"vote, roll call",JLPT_1 JLPT,dGyNtnPzfu,saiketsu,THẢI QUYẾT
再建,さいけん,(temple or shrine) rebuilding,JLPT_1 JLPT,oY^(hGDwBB,saiken,TÁI KIẾN
再現,さいげん,"reproduction, return, revival",JLPT_1 JLPT,j$Iu*3{(HU,saigen,TÁI HIỆN
財源,ざいげん,"source of funds, resources, finances",JLPT_1 JLPT,gD`:Vm3DD=,zaigen,TÀI NGUYÊN
在庫,ざいこ,"stockpile, stock",JLPT_1 JLPT,I`6&P}MLhB,zaiko,TẠI KHỐ
採算,さいさん,profit,JLPT_1 JLPT,z3sqnTBL(n,saisan,THẢI TOÁN
サイズ,サイズ,size,JLPT_1 JLPT,J0]k_!eDR<,saizu,
再生,さいせい,"playback, regeneration, resuscitation",JLPT_1 JLPT,hGl1Th{bx@,saisei,TÁI SANH
財政,ざいせい,"economy, financial affairs",JLPT_1 JLPT,PbUztxpH:],zaisei,TÀI CHÁNH
最善,さいぜん,the very best,JLPT_1 JLPT,M-1H]L<~pq,saizen,TỐI THIỆN
採択,さいたく,"adoption, selection, choice",JLPT_1 JLPT,e+cLZEXhDr,saitaku,THẢI TRẠCH
栽培,さいばい,cultivation,JLPT_1 JLPT,uC68c<~cH),saibai,TÀI BỒI
再発,さいはつ,"return, relapse, reoccurrence",JLPT_1 JLPT,CS^Rshk:|8,saihatsu,TÁI PHÁT
細胞,さいぼう,cell,JLPT_1 JLPT,CzyHns{dm!,saibou,TẾ BÀO
採用,さいよう,"use, adopt",JLPT_1 JLPT,"vMLF5(iO,d",saiyou,THẢI DỤNG
遮る,さえぎる,"to interrupt, to intercept, to obstruct",JLPT_1 JLPT,QMaal]q?M$,saegiru,GIÀ
さえずる,さえずる,"to sing, to chirp, to twitter",JLPT_1 JLPT,r@Q>;L$}V-,saezuru,
冴える,さえる,"to be clear, to be bright, to be skillful",JLPT_1 JLPT,F_K.fXalP!,saeru,NGÀ
竿,さお,"rod, pole (e.g., for drying laundry)",JLPT_1 JLPT,v^.R1:=Y[p,sao,CAN
栄える,さかえる,"to flourish, to prosper, to thrive",JLPT_1 JLPT,w`<;(n%DdJ,sakaeru,VINH
差額,さがく,"balance, difference, margin",JLPT_1 JLPT,gAXt@5CeYh,sagaku,SOA NGẠCH
杯,さかずき,wine cup,JLPT_1 JLPT,QIw#3oSw.:,sakazuki,BÔI
逆立ち,さかだち,"handstand, headstand",JLPT_1 JLPT,ec~&YKW}51,sakadachi,NGHỊCH LẬP
さきに (いぜん),さきに (いぜん),"before, earlier than, previously",JLPT_1 JLPT,uh`5:/)TWv,sakini (izen),
詐欺,さぎ,"fraud, swindle",JLPT_1 JLPT,w6]yB.g{E!,sagi,TRÁ KHI
削減,さくげん,"cut, reduction",JLPT_1 JLPT,k7zRyZ_D=o,sakugen,TƯỚC GIẢM
錯誤,さくご,mistake,JLPT_1 JLPT,IDfkC-Cw&L,sakugo,THÁC NGỘ
作戦,さくせん,"military operations, tactics, strategy",JLPT_1 JLPT,s$Xs?1nQ+e,sakusen,TÁC CHIẾN
叫び,さけび,"shout, scream, outcry",JLPT_1 JLPT,nqYX]L]Y*r,sakebi,KHIẾU
捧げる,ささげる,"to lift up, to give, to offer",JLPT_1 JLPT,KhanDj}|vd,sasageru,PHỦNG
差し掛かる,さしかかる,"to come near to, to approach",JLPT_1 JLPT,IM%WW[zOZk,sashikakaru,
指図,さしず,"instruction, mandate",JLPT_1 JLPT,N1]Ah`4~bh,sashizu,CHỈ ĐỒ
差し出す,さしだす,"to present, to submit, to hold out",JLPT_1 JLPT,A&xf;%;bo<,sashidasu,SOA XUẤT
差し支える,さしつかえる,"to interfere, to hinder",JLPT_1 JLPT,ve>x:VMBVJ,sashitsukaeru,
授ける,さずける,"to grant, to award, to teach",JLPT_1 JLPT,h.+pAO9bEu,sazukeru,THỤ
摩する,さする,"to rub, to stroke",JLPT_1 JLPT,yQu&Wz5|+#,sasuru,MA
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),"I am sure, certainly, no doubt",JLPT_1 JLPT,FE`C@V&t[f,sazo (sazoya.sazokashi),
定まる,さだまる,"to become settled, to be fixed",JLPT_1 JLPT,"Ly=j.,,]V@",sadamaru,ĐỊNH
定める,さだめる,"to decide, to determine",JLPT_1 JLPT,MNqx6`F)B2,sadameru,ĐỊNH
座談会,ざだんかい,"symposium, round-table discussion",JLPT_1 JLPT,d!+{3%PNo},zadankai,TỌA ĐÀM HỘI
雑,ざつ,"rough, crude",JLPT_1 JLPT,PqMu^a?1a^,zatsu,TẠP
雑貨,ざっか,"miscellaneous goods, general goods",JLPT_1 JLPT,r5VCxxHAy|,zakka,TẠP HÓA
殺人,さつじん,murder,JLPT_1 JLPT,tM%DouVsND,satsujin,SÁT NHÂN
察する,さっする,"to guess, to sense, to judge",JLPT_1 JLPT,LGG(>{BjoV,sassuru,SÁT
雑談,ざつだん,"chatting, idle talk",JLPT_1 JLPT,DK#>y3UE4B,zatsudan,TẠP ĐÀM
さっと,さっと,"suddenly, smoothly",JLPT_1 JLPT,EKYb(VaO4Q,satto,
さっぱりする,さっぱりする,to refresh,JLPT_1 JLPT,H|ANTa=Wl{,sapparisuru,
悟る,さとる,"to attain enlightenment, to understand",JLPT_1 JLPT,v:Q4euCfA7,satoru,NGỘ
最中,さなか,"in the middle of, midst",JLPT_1 JLPT,A!j+&nF3Wn,sanaka,TỐI TRUNG
座標,ざひょう,coordinates,JLPT_1 JLPT,B0L0!.A0?},zahyou,TỌA TIÊU
さほど,さほど,"not so, not that much",JLPT_1 JLPT,Eqh)/a:JaN,sahodo,
サボる,サボる,to cut (skip) classes; to loaf on the job; to idle away one's time,JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki,AVLvOaz~KF,saboru,
様,さま,state; way (a person does something); Mr. or Mrs.,JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,lj0_)hI7Ez,sama,DẠNG
寒気,さむけ,"chill, shiver, cold",JLPT_1 JLPT,N#;$qw^KPE,samuke,HÀN KHÍ
侍,さむらい,samurai,JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese,g}?p(/xug4,samurai,THỊ
さも,さも,"with gusto, with satisfaction",JLPT_1 JLPT,Gm-[^5Ln&h,samo,
作用,さよう,"operation, effect, function",JLPT_1 JLPT,"Oof8u=,|uS",sayou,TÁC DỤNG
さらう (こどもを～),さらう (こどもを～),to kidnap,JLPT_1 JLPT,B@RtBWjh/W,sarau (kodomowo~),
障る,さわる,"to hinder, to interfere with, to affect",JLPT_1 JLPT,Di(J(kaH;V,sawaru,CHƯỚNG
酸,さん,acid,JLPT_1 JLPT,k/LaLYL|r#,san,TOAN
山岳,さんがく,mountains,JLPT_1 JLPT,nJs0S#DzgO,sangaku,SAN NHẠC
参議院,さんぎいん,House of Councilors,JLPT_1 JLPT,O7n.x?;S]&,sangiin,THAM NGHỊ VIỆN
産休,さんきゅう,maternity leave,JLPT_1 JLPT,k`Pzt}i$UW,sankyuu,SẢN HƯU
サンキュー,サンキュー,thank you,JLPT_1 JLPT,rQ2myGNLp<,sankyuu,
残金,ざんきん,remaining money,JLPT_1 JLPT,E</lr>b527,zankin,TÀN KIM
産後,さんご,"postpartum, after childbirth",JLPT_1 JLPT,"Pge/h!,u.x",sango,SẢN HẬU
残酷,ざんこく,"cruelty, harshness",JLPT_1 JLPT,snLE.]5(UV,zankoku,TÀN KHỐC
産出,さんしゅつ,"yield, produce",JLPT_1 JLPT,AItAE0vKn;,sanshutsu,SẢN XUẤT
参照,さんしょう,"reference, consultation, consultation",JLPT_1 JLPT,Q=29PP)W-_,sanshou,THAM CHIẾU
参上,さんじょう,"calling on, visiting",JLPT_1 JLPT,w#SP~u0yM;,sanjou,THAM THƯỢNG
残高,ざんだか,"(bank) balance, remainder",JLPT_1 JLPT,K4gXaj[Vyi,zandaka,TÀN CAO
サンタクロース,サンタクロース,Santa Claus,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,f/QC`5/{Un,santakuroosu,
桟橋,さんばし,"wharf, jetty, pier",JLPT_1 JLPT,qY2!_v~;bZ,sanbashi,SẠN KIỀU
賛美,さんび,"praise, adoration, glorification",JLPT_1 JLPT,e.-RuHb{48,sanbi,TÁN MĨ
山腹,さんぷく,"hillside, mountainside",JLPT_1 JLPT,o2ZZ0`v<eS,sanpuku,SAN PHÚC
産婦人科,さんふじんか,maternity and gynecology department,JLPT_1 JLPT,C-(.5yIOQP,sanfujinka,SẢN PHỤ NHÂN KHOA
産物,さんぶつ,"product, result, fruit",JLPT_1 JLPT,E~s#%JNaV$,sanbutsu,SẢN VẬT
山脈,さんみゃく,mountain range,JLPT_1 JLPT,x1O?:5^y|C,sanmyaku,SAN MẠCH
仕上がり,しあがり,"finish, end, completion",JLPT_1 JLPT,yea;?+baU4,shiagari,SĨ THƯỢNG
仕上,しあげ,"end, finishing touches",JLPT_1 JLPT,oEx[)E@iYE,shiage,SĨ THƯỢNG
仕上げる,しあげる,"to finish up, to complete",JLPT_1 JLPT,hK4h`Zw:aS,shiageru,SĨ THƯỢNG
飼育,しいく,"breeding, raising, rearing",JLPT_1 JLPT,e5/Z)LI]cr,shiiku,TỰ DỤC
強いて,しいて,"to dare, to insist",JLPT_1 JLPT,Bomwd0N#[6,shiite,CƯỜNG
シート,シート,seat; sheet,JLPT_1 JLPT,u]dm-2Z@p[,shiito,
ジーパン,ジーパン,jeans,JLPT_1 JLPT,HXr(ew@{F#,jiipan,
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",JLPT_1 JLPT,IFIIG{$W)<,shiireru,SĨ NHẬP
強いる,しいる,"to force, to compel, to coerce",JLPT_1 JLPT,mim3NgV!o^,shiiru,CƯỜNG
潮,しお,tide,JLPT_1 JLPT,bk[V+Gm9:@,shio,TRIỀU
歯科,しか,dentistry,JLPT_1 JLPT,OAZ`Wrx_o9,shika,XỈ KHOA
自我,じが,"self, ego",JLPT_1 JLPT,b-m;dw=d{Y,jiga,TỰ NGÃ
自覚,じかく,self-conscious,JLPT_1 JLPT,i/]v!LT[`[,jikaku,TỰ GIÁC
仕掛,しかけ,"device, trick, mechanism",JLPT_1 JLPT,Jsems8J4`^,shikake,SĨ QUẢI
仕掛ける,しかける,"to lay, to set, to wage",JLPT_1 JLPT,Ac40<_hm$3,shikakeru,SĨ QUẢI
しかしながら,しかしながら,"however, nevertheless",JLPT_1 JLPT,Hq^C6[L3R8,shikashinagara,
色彩,しきさい,color,JLPT_1 JLPT,G$Z8Bsx{4U,shikisai,SẮC THẢI
式場,しきじょう,"ceremonial hall, place of ceremony (e.g., marriage)",JLPT_1 JLPT,rHP.1FI!Xg,shikijou,THỨC TRÀNG
しきたり,しきたり,"custom, conventional practice, tradition",JLPT_1 JLPT,sw_]y<P?Kn,shikitari,
