kanji,furigana,meaning,tags,guid,romaji,hanviet
現像,げんぞう,developing (film),JLPT_1 JLPT,v9bha+<cj},genzou,HIỆN TƯỢNG
原則,げんそく,"principle, general rule",JLPT_1 JLPT,dVC[`t${#`,gensoku,NGUYÊN TẮC
見地,けんち,point of view,JLPT_1 JLPT,wk)a!>hpi:,kenchi,KIẾN ĐỊA
現地,げんち,"actual place, local",JLPT_1 JLPT,G$>SwAUY5:,genchi,HIỆN ĐỊA
限定,げんてい,"limit, restriction",JLPT_1 JLPT,o%F/8(![P3,gentei,HẠN ĐỊNH
原点,げんてん,"origin (coordinates, starting point)",JLPT_1 JLPT,bXdt~Sz`DP,genten,NGUYÊN ĐIỂM
原典,げんてん,"original, source",JLPT_1 JLPT,EB`MVeV|+3,genten,NGUYÊN ĐIỂN
原爆,げんばく,atomic bomb,JLPT_1 JLPT,qVu!~xa[nC,genbaku,NGUYÊN BẠO
原文,げんぶん,"the text, original",JLPT_1 JLPT,w>egRzs&//,genbun,NGUYÊN VĂN
厳密,げんみつ,"strict, close",JLPT_1 JLPT,k<}V}HBo:Y,genmitsu,NGHIÊM MẬT
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1 JLPT,rF6VPIq@Kt,kenmei,HIỀN MINH
倹約,けんやく,"thrift, economy, frugality",JLPT_1 JLPT,G)qGN7wCPF,kenyaku,KIỆM ƯỚC
原油,げんゆ,crude oil,JLPT_1 JLPT,mqzQ4phBV%,genyu,NGUYÊN DU
兼用,けんよう,"multi-use, combined use",JLPT_1 JLPT,Q[mY;6;Blm,kenyou,KIÊM DỤNG
権力,けんりょく,"(political) power, authority, influence",JLPT_1 JLPT,zLBVbQJht),kenryoku,QUYỀN LỰC
言論,げんろん,"discussion, speech",JLPT_1 JLPT,j=]X!_Sn:<,genron,NGÔN LUẬN
故～,こ～,"deceased, late",JLPT_1 JLPT,l<k2Hl<qF:,ko~,CỐ
語彙,ごい,"vocabulary, glossary",JLPT_1 JLPT,dg-x#L-S>s,goi,NGỮ VỊ
