kanji,furigana,meaning,tags,guid,romaji
ああ,ああ,"Ah!, Oh!",JLPT JLPT_4 JLPT_5 JLPT_N5,HI-.Ij?HS~,aa
会う,あう,"to meet, to see",JLPT JLPT_3 JLPT_5 JLPT_N5,kupB!kWE}<,au
青,あお,blue,JLPT JLPT_5 JLPT_N5,HB)I{+$j.i,ao
青い,あおい,blue,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,q(A)lc.Kr8,aoi
赤,あか,red,JLPT JLPT_5 JLPT_N5,y!Fn9IOz@J,aka
赤い,あかい,red,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,D`aKGX2j!#,akai
明るい,あかるい,bright (in reference to personality or weather); cheerful,Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,m>)z8|k.>J,akarui
秋,あき,fall (season),Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,H~$iS3{X?*,aki
開く,あく,"to open, to become open",JLPT JLPT_3 JLPT_5 JLPT_N5,m[4![DH*c~,aku
開ける,あける,to open (v.t.),Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,y.#AVx@-k>,akeru
上げる,あげる,"to raise, to lift",JLPT JLPT_3 JLPT_5 JLPT_N5,Hp0]9?Ae.w,ageru
朝,あさ,morning,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,g|Q>VbnCii,asa
朝御飯,あさごはん,breakfast,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,wWUR=G6*(U,asagohan
明後日,あさって,day after tomorrow,JLPT JLPT_5 JLPT_N5,mF[0Aq7|V7,asatte
足; 脚,あし,foot; leg,JLPT JLPT_5 JLPT_N5,m.INsC.wC2,ashi
明日,あした,tomorrow,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5,xZI7N3AauN,ashita
あそこ,あそこ,"there, over there, that place",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,P>AI.lx+Jq,asoko
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,e<h|f2`;&,asobu
暖かい,あたたかい,warm,JLPT_N5,tk[pUMy0{i,atatakai
頭,あたま,head,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,DaKiPvzaex,atama
新しい,あたらしい,new,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,h)6JB@Q5Rj,atarashii
あちら,あちら,this way (polite),Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5,h{rLO32/d4,achira
暑い,あつい,"hot (in reference to weather), warm",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5,"gSl8i,<}^I",atsui
熱い,あつい,hot (objects),Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Gy7fB=0YXx,atsui
厚い,あつい,"kind, warm(hearted), thick, deep",JLPT JLPT_5 JLPT_N5,v[2GvOysf?,atsui
あっち,あっち,over there,JLPT JLPT_5 JLPT_N5,Pv=fA$Z6K5,atchi
後,あと,afterwards (later); in the future; the rest; since then,Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,"r-[yF55!,-",ato
あなた,あなた,you,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"dwd.i?n%,!",anata
兄,あに,(my) older brother (humble),Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5,L}%Kue=51s,ani
姉,あね,(my) older sister (humble),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,IX6p9}CO.e,ane
アパート,アパート,apartment (abbr.),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,wZ/2ki)d+f,apaato
あの,あの,"that over there; like that, that way; um...",JLPT JLPT_4 JLPT_5 JLPT_N5,B2LX%goFyX,ano
浴びる,あびる,"to bathe, to shower",JLPT JLPT_3 JLPT_5 JLPT_N5,b2.2F3UI=#,abiru
危ない,あぶない,"dangerous, critical",Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5,kjgRC;INvI,abunai
甘い,あまい,"generous, sweet",Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5,jcM!HlCL`<,amai
余り,あまり,not very; surplus,JLPT JLPT_3 JLPT_5 JLPT_N5,"l$B(J(k,y1",amari
雨,あめ,rain,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,PaXlv})<8_,ame
飴,あめ,(hard) candy,JLPT JLPT_5 JLPT_N5,v}dp1l^X:W,ame
洗う,あらう,to wash,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5,H=[cc$xhzR,arau
在る,ある,"to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5,w$Yz{uB@-`,aru
有る,ある,"to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5,v`6i&kQMJj,aru
歩く,あるく,to walk,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,"Kkagn,fSTU",aruku
あれ,あれ,that one (over there),Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,Co(PaI(^/_,are
良い,いい; よい,good,JLPT JLPT_5 JLPT_N5,O(#?WJE%7H,ii; yoi
いいえ,いいえ,"no, not at all",JLPT JLPT_5 JLPT_N5,"iO`r],Af`o",iie
言う,いう,to say,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5,iurNhMLEpv,iu
家,いえ,"house, home",Genki Genki_Ln.3 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5,QGc`#y1e97,ie
いかが,いかが,"how, in what way",JLPT JLPT_5 JLPT_N5,r5L~xW!JP9,ikaga
行く,いく; ゆく,to go,JLPT JLPT_5 JLPT_N5,kJnXhXxW0),iku; yuku
いくつ,いくつ,"how many, how old",JLPT JLPT_3 JLPT_5 JLPT_N5,mxf9)ZwbLi,ikutsu
いくら,いくら,"how much, how many",Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5,G7]VF2LkZL,ikura
池,いけ,pond,JLPT JLPT_5 JLPT_N5,"u8]?l[G,7&",ike
医者,いしゃ,doctor; physician,Genki Genki_Ln.1 Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,"f&|8.,xzY9",isha
椅子,いす,chair,JLPT JLPT_3 JLPT_5 JLPT_N5,Nxw^e{dZp(,isu
忙しい,いそがしい,"busy (people, days)",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,pTORshR]m|,isogashii
痛い,いたい,hurt; painful; sore,Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5,O@@jk^&oQ8,itai
一,いち,one,JLPT JLPT_3 JLPT_5 JLPT_N5,C57gy_Lcmo,ichi
一日 (duration),いちにち,one day (duration),Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5,Q/Fb^F]yhk,ichinichi
一番,いちばん,"best (most), first, number one",Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,y&ds7j((mb,ichiban
いつ,いつ,when,Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5,oGX1~x%YQo,itsu
五日,いつか,five days; fifth day of the month,Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,iii]i;bYjg,itsuka
一緒,いっしょ,together,Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,D>uK5dFJy^,issho
五つ,いつつ,five things,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,Q!*H:Q_rHO,itsutsu
いつも,いつも,"always, usually, every time, never (with neg. verb)",Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,BM|Xrf53.p,itsumo
犬,いぬ,dog,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5,"ktH(<>,fX+",inu
今,いま,now,Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5,N{Ld-iFO]H,ima
意味,いみ,"meaning, significance",Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5,xQ(-U#d9Tp,imi
妹,いもうと,younger sister (humble),Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5,BL_XI^txw+,imouto
嫌,いや,"disagreeable, detestable, unpleasant",JLPT JLPT_3 JLPT_5 JLPT_N5,pj6@51cCNZ,iya
入口,いりぐち,entrance,JLPT JLPT_5 JLPT_N5,"E5~,8$6,oj",iriguchi
居る,いる,"(humble) to be (animate), to exist",JLPT JLPT_5 JLPT_N5,wfzvV]4NOO,iru
要る,いる,to need,JLPT JLPT_5 JLPT_N5,j|TF$iBC;9,iru
入れる,いれる,to put in,JLPT JLPT_5 JLPT_N5,swmy/(v]Eb,ireru
色,いろ,color,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,"Epa;v6=%P,",iro
色々,いろいろ,various,JLPT JLPT_5 JLPT_N5,jV7cB[WgxE,iroiro
上,うえ,"above (up, top, etc.), over, on top of",JLPT JLPT_2 JLPT_5 JLPT_N5,"j3j@,T!uH>",ue
後ろ,うしろ,"back, behind, rear",JLPT JLPT_3 JLPT_5 JLPT_N5,s:DnwS1iNM,ushiro
薄い,うすい,"thin, weak",JLPT JLPT_3 JLPT_5 JLPT_N5,pRrb<$bzH|,usui
歌,うた,a song,Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5,JJN9**Hn8A,uta
歌う,うたう,to sing,Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,AN4yH;7MHR,utau
うち,うち,home; house; my place,Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5,u5l2?%hKEd,uchi
生まれる,うまれる,to be born,JLPT JLPT_3 JLPT_5 JLPT_N5,i{d6CiQ#iK,umareru
海,うみ,"sea, beach",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,Cla&e~|Y6P,umi
売る,うる,to sell (v.t.),Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5,nqk=gYOr|$,uru
うるさい,うるさい,noisy; annoying,Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5,fsH/V)BWD4,urusai
上着,うわぎ,"coat, jacket",JLPT JLPT_5 JLPT_N5,nv?u]<OhhN,uwagi
絵,え,a painting; a picture; a drawing,Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5,E6H3mWmPF1,e
映画,えいが,"movie, film",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5,Q842_8x`<%,eiga
映画館,えいがかん,"movie theater, cinema",Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5,tKa%gU>tYk,eigakan
英語,えいご,English (language),Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,l~kTfp|Na~,eigo
ええ,ええ,yes,Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5,K4f;DsCIdC,ee
駅,えき,station,Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5,EP[wTa2Y![,eki
エレベーター,エレベーター,elevator,JLPT JLPT_2 JLPT_5 JLPT_N5,GomZ-xrho6,erebeetaa
～円,～えん,Yen,JLPT JLPT_5 JLPT_N5,"rY,[_6)@&p",~en
鉛筆,えんぴつ,pencil,Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5,ArKUTnLoi2,enpitsu
お～,お～,honorable ~ (honorific),JLPT JLPT_5 JLPT_N5,Q1z/@I6[X=,o~
美味しい,おいしい,"delicious, tasty",JLPT JLPT_5 JLPT_N5,f%Oz)hC{aH,oishii
多い,おおい,many; there are a lot,Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,CS_ZJ+i5[),ooi
大きい,おおきい,"big, large",Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5,N*s[nF-<Om,ookii
大きな,おおきな,big,JLPT JLPT_5 JLPT_N5,"C@,$F5(H&S",ookina
大勢,おおぜい,great number of people,JLPT JLPT_5 JLPT_N5,d_f[=H{F{<,oozei
お母さん,おかあさん,mother (formal),Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5,JmU7?0Aw7),okaasan
お菓子,おかし,"confections, sweets, snack",Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5,iY2$$8!fW<,okashi
お金,おかね,money,Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5,uh%`nh}D?M,okane
起きる,おきる,"to get up (e.g., from sleeping); to happen",Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,i~#f<a525w,okiru
置く,おく,to put; to lay; to place,Genki Genki_Ln.21 JLPT JLPT_3 JLPT_5 JLPT_N5,"KTJ,/<Sfw7",oku
奥さん,おくさん,(someone else's) wife (hon.),Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5,raj<Z6u7R],okusan
お酒,おさけ,sake; alcohol,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5,BPnYG]G`g3,osake
お皿,おさら,"plate, dish",JLPT JLPT_5 JLPT_N5,"lNBs!SV,D!",osara
伯父; 叔父さん,おじさん,"uncle, middle-aged man",JLPT JLPT_5 JLPT_N5,s$4&3o9W|{,ojisan
おじいさん,おじいさん,"grandfather, male senior citizen",Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5,OnBGSorIYO,ojiisan
教える,おしえる,"to teach, to inform, to instruct",Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5,&(rx8HabP,oshieru
押す,おす,"to push, to press, to stamp (e.g., a passport)",Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5,O7S.k1^4+9,osu
