kanji,furigana,meaning,tags,guid,romaji
公務員,こうむいん,"government worker, public servant",JLPT JLPT_N4,p;42%b%y:T,koumuin
お嬢さん,おじょうさん,(someone's) daughter (polite),Genki Genki_Ln.22 JLPT JLPT_N4,Ee+d{e?WRj,ojousan
用意,ようい,preparation,JLPT JLPT_N4,"PJ%Q,E{$_L",youi
探す,さがす,"to search, to seek, to look for",Genki Genki_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,h4(YO`o85t,sagasu
形,かたち,shape,JLPT JLPT_N4,f7_i%J0-/Y,katachi
運転,うんてんする,driving,JLPT JLPT_N4,r!zv#R0ur*,untensuru
すっかり,すっかり,"all, completely",JLPT JLPT_N4,nV=]]BK.9=,sukkari
アナウンサー,アナウンサー,announcer,JLPT JLPT_N4,oG?shn0:uO,anaunsaa
お土産,おみやげ,souvenir,Genki Genki_Ln.4 JLPT JLPT_N4,IKS:}hgF8q,omiyage
消しゴム,けしゴム,eraser,JLPT JLPT_N4,"gW^biR[nM,",keshigomu
旅館,りょかん,a Japanese inn,Genki Genki_Ln.15 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,Ke`aN1|5T#,ryokan
海岸,かいがん,"coast, seashore",JLPT JLPT_N4,O1]Ne=Q0*.,kaigan
寂しい,さびしい,"lonely, lonesome",Genki Genki_Ln.9 JLPT JLPT_N4,pi{)YOFX|t,sabishii
火,ひ,fire,JLPT JLPT_N4,gjC}:7>!AJ,hi
育てる,そだてる,to raise (v.t.); to bring up,Genki Genki_Ln.22 JLPT JLPT_N4,r6b~+z#uh_,sodateru
味噌,みそ,"miso, bean paste",JLPT JLPT_N4,FzA7odIzvp,miso
お祝い,おいわい,"congratulation, celebration",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,sQaWTq!hP`,oiwai
乗り物,のりもの,vehicle,JLPT JLPT_N4,i9[ZI9WM}X,norimono
案内,あんないする,"information, guidance",JLPT JLPT_N4,DO_nJ<yYaJ,annaisuru
通う,かよう,to go back and forth; to commute,JLPT JLPT_N4,D<g$_r(YBs,kayou
連れる,つれる,"to lead, to take (a person)",JLPT JLPT_N4,J&sg+H>0p_,tsureru
技術,ぎじゅつ,"technique, technology, skill",JLPT JLPT_N4,PCC!&zGiCY,gijutsu
小鳥,ことり,small bird,JLPT JLPT_N4,G|$muceS&O,kotori
下宿,げしゅく,"lodging, boarding house",JLPT JLPT_N4,"bmjB!,8T=p",geshuku
ジャム,ジャム,jam,JLPT JLPT_N4,D@h7*f7p?d,jamu
招待,しょうたいする,invitation,JLPT JLPT_N4,c$Y~;QF){;,shoutaisuru
鏡,かがみ,mirror,JLPT JLPT_N4,v%J5x[E:;(,kagami
はず,はず,it should be so,JLPT JLPT_N4,Jg5{R&fxyH,hazu
法律,ほうりつ,law,JLPT JLPT_N4,O9|FD5Fq3.,houritsu
進む,すすむ,"to advance, to proceed",JLPT JLPT_N4,b6Re}g0};8,susumu
楽む,たのしむ,to enjoy,JLPT JLPT_N4,iCe:{Xn-6L,tanoshimu
貿易,ぼうえき,trade,JLPT JLPT_N4,bc9Yp10YbE,boueki
反対,はんたい,"oppose, opposition, resistance",JLPT JLPT_N4,KY]P)[osSM,hantai
おる,おる,-- extra-modest expression for いる --,Genki Genki_Ln.20 JLPT JLPT_N4,Adc_Jds{te,oru
申す,もうす,-- extra-modest (humble) expression for 言う (いう) --,Genki Genki_Ln.20 JLPT JLPT_N4,e<WJ-6`NVb,mousu
試験,しけん,an exam,Genki Genki_Ln.9 JLPT JLPT_N4,bUCd_5rR^-,shiken
真面目,まじめ,"diligent, serious",JLPT JLPT_N4,xK*F{fx?.z,majime
ごらんになる,ごらんになる,-- honorific expression for みる --,Genki Genki_Ln.19 JLPT JLPT_N4,k(j]!OR1gM,goranninaru
店員,てんいん,clerk; shop-employee,Intermediate_Japanese_Ln.6 JLPT JLPT_N4,GeFU%up;F{,ten'in
泊まる,とまる,to stay (over night) (v.i.),JLPT JLPT_N4,IbHq#Ubd>&,tomaru
よろしい,よろしい,"(hon.) good, OK, all right",JLPT JLPT_N4,Ah<}g#ysAC,yoroshii
今夜,こんや,"this evening, tonight",JLPT JLPT_N4,qWO]e*;%U},konya
おつり,おつり,change; balance of money returned to the purchaser,JLPT JLPT_N4,wx#vXTnj!Z,otsuri
チェックする,チェックする,check,JLPT JLPT_N4,o%*Ndg~YHB,chekkusuru
会話,かいわ,conversation,JLPT JLPT_N4,dD;CvmzQ9b,kaiwa
空気,くうき,"air, atmosphere",Genki Genki_Ln.8 JLPT JLPT_N4,C)1Z!^eB^|,kuuki
交通,こうつう,"traffic, transportation",JLPT JLPT_N4,AyJ>}k*DyK,koutsuu
ワープロ,ワープロ,word processor,JLPT JLPT_N4,!Qc[fI`%{,waapuro
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad",JLPT JLPT_N4,DF7Py?yTD[,yorokobu
急行,きゅうこう,express train or bus,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,t]K/5%].:3,kyuukou
皆,みな,everyone,JLPT JLPT_N4,r56e/uzKVH,mina
味,あじ,"flavor, taste",JLPT JLPT_N4,B]?q9zUNzO,aji
空港,くうこう,airport,Genki Genki_Ln.20 JLPT JLPT_N4,Qgx/]mMiIj,kuukou
手袋,てぶくろ,glove(s),Genki Genki_Ln.10 JLPT JLPT_N4,LM6P1@!I~2,tebukuro
校長,こうちょう,"principal, headmaster",JLPT JLPT_N4,eI/Ghjq;7/,kouchou
ごちそう,ごちそう,"feast, treating (someone)",JLPT JLPT_N4,D/ibPniDYT,gochisou
踊り,おどり,dance,JLPT JLPT_N4,J=*Z|>n+QR,odori
興味,きょうみ,interest (in something),JLPT JLPT_N4,DIyl0xA#)2,kyoumi
引っ越す,ひっこす,to move to a new place of residence,JLPT JLPT_N4,EGeSfwOFZ.,hikkosu
冷房,れいぼう,"cooling, air conditioning",JLPT JLPT_N4,stZHJs{qvP,reibou
都合,つごう,"circumstances, convenience",JLPT JLPT_N4,b;szYJp1~0,tsugou
遠慮,えんりょする,"restraint, reserve, hesitate",JLPT JLPT_N4,uqPUmCD*1n,enryosuru
亡くなる,なくなる,to pass away,JLPT JLPT_N4,Iq_q:mI=}n,nakunaru
科学,かがく,science,Genki Genki_Ln.1 JLPT JLPT_N4,gWOi-(wW;M,kagaku
はっきり,はっきり,"clearly, distinctly",JLPT JLPT_N4,soMm6B)m]t,hakkiri
差し上げる,さしあげる,-- humble expression for あげる --,Genki Genki_Ln.20 JLPT JLPT_N4,zkSrvJWm{I,sashiageru
気持ち,きもち,"feeling, sensation, mood",JLPT JLPT_N4,P!ajdoiyb.,kimochi
祖父,そふ,grandfather,JLPT JLPT_N4,ytyAfRG*6x,sofu
港,みなと,"harbor, port",JLPT JLPT_N4,sHl5)cnUcM,minato
予約,よやく,reservation,Genki Genki_Ln.10 JLPT JLPT_N4,rSce1JPbkI,yoyaku
凄い,すごい,"terrific, great",JLPT JLPT_N4,P~)7jIfH{m,sugoi
入学,にゅうがくする,entry to school or university,JLPT JLPT_N4,"jo:/>1,9uU",nyuugakusuru
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away",JLPT JLPT_N4,Ef_Twp5ERS,katazukeru
写す,うつす,to copy (v.t.); to photograph,JLPT JLPT_N4,x|L%TU)*iv,utsusu
パソコン,パソコン,(personal) computer,JLPT JLPT_N4,tQ#JE!pNrV,pasokon
部長,ぶちょう,department (division) manager,Genki Genki_Ln.19 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,O:v<m}n3*n,buchou
火事,かじ,fire,JLPT JLPT_N4,Kll.Pvc/gB,kaji
足す,たす,to add (numbers),JLPT JLPT_N4,M:pOTP>t7-,tasu
教会,きょうかい,church,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,oA&[8r+GKm,kyoukai
彼ら,かれら,they (usually male),JLPT JLPT_N4,k?K1].&L.0,karera
一杯,いっぱい,"full, to the utmost",JLPT JLPT_N4,w&/o{@M=$:,ippai
アメリカ,アメリカ,"America, U.S.A.",Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_N4,IVipO?aKE#,amerika
男性,だんせい,man; male,JLPT JLPT_N4,r6Y+#Vxx9S,dansei
理由,りゆう,reason,JLPT JLPT_N4,P7}t{e2du#,riyuu
生産,せいさんする,production; to produce,JLPT JLPT_N4,pm+O;C4U:>,seisansuru
着物,きもの,kimono; Japanese traditional dress,Genki Genki_Ln.13 JLPT JLPT_N4,"A(ZdyF5k,T",kimono
おもちゃ,おもちゃ,a toy,Genki Genki_Ln.11 JLPT JLPT_N4,Cf`[JaXL7u,omocha
暮れる,くれる,"to get dark, to come to an end",JLPT JLPT_N4,i-JL+Sl!mg,kureru
釣る,つる,to fish,JLPT JLPT_N4,"GWJ%g`TG,o",tsuru
～ちゃん,～ちゃん,suffix for familiar (female) person,JLPT JLPT_N4,r2m3z~%1s],~chan
打つ,うつ,"to hit, to strike",JLPT JLPT_N4,pBs^gx/@>a,utsu
あんな,あんな,"such, like that",JLPT JLPT_N4,K%g**4JE#C,anna
謝る,あやまる,to apologize,JLPT JLPT_N4,C%+Y^2-4l[,ayamaru
昼間,ひるま,"daytime, during the day",JLPT JLPT_N4,p3^ge-^eJl,hiruma
教育,きょういく,education,JLPT JLPT_N4,HW9*4`esHu,kyouiku
女性,じょせい,woman,JLPT JLPT_N4,E9gO2XIg*K,josei
米,こめ,uncooked rice,JLPT JLPT_N4,"t,HSQDh#2",kome
邪魔,じゃま,"hindrance, intrusion",JLPT JLPT_N4,c]>yivA`ny,jama
国際,こくさい,international,JLPT JLPT_N4,f~g3tMo97^,kokusai
隅,すみ,corner,JLPT JLPT_N4,eeOvjZ5zl.,sumi
伺う,うかがう,"humble form of 行く (いく), 聞く (きく) and 来る (くる)",JLPT JLPT_N4,Lmfy{2F]$A,ukagau
再来週,さらいしゅう,the week after next,JLPT JLPT_N4,kKHM?VM`7o,saraishuu
夢,ゆめ,a dream,Genki Genki_Ln.11 JLPT JLPT_N4,lZn7[}J9+0,yume
喉,のど,throat,JLPT JLPT_N4,c+C3t7I~.8,nodo
最近,さいきん,"recently, nowadays, in recent years, most recent, latest",Genki Genki_Ln.15 Intermediate_Japanese_Ln.9 JLPT JLPT_N4,e2RD]Myt9A,saikin
周り,まわり,surroundings,JLPT JLPT_N4,fhT%f*K[Vx,mawari
歴史,れきし,history,Genki Genki_Ln.1 Genki_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,lQ}Sxv&`A!,rekishi
不便,ふべん,inconvenience,JLPT JLPT_N4,C!<M[IO(?_,fuben
血,ち,blood,JLPT JLPT_N4,0ihaC]*Q^,chi
～続ける,～つづける,to continue doing ~,JLPT JLPT_N4,JHO_m/Gf)j,~tsuzukeru
毛,け,"hair, fur",JLPT JLPT_N4,gsy(C|!IEU,ke
ひどい,ひどい,"terrible, awful, unfair, cruel",Genki Genki_Ln.21 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,M6<?LBefmj,hidoi
例えば,たとえば,"for example, e.g.",Genki Genki_Ln.17 Intermediate_Japanese_Ln.2 JLPT JLPT_N4,n/o*9@bFx6,tatoeba
中々,なかなか,"very, considerably, quite",JLPT JLPT_N4,@YWCVJq=),nakanaka
随分,ずいぶん,extremely,JLPT JLPT_N4,NMl:D%#1zF,zuibun
～やすい,～やすい,easy to do ~,JLPT JLPT_N4,exjp1w(~N7,~yasui
押し入れ,おしいれ,closet,JLPT JLPT_N4,Al&#S)GWr$,oshiire
電灯,でんとう,electric light,JLPT JLPT_N4,jodPP9K~W{,dentou
叱る,しかる,to scold,JLPT JLPT_N4,LMzmk?%TI!,shikaru
サンダル,サンダル,sandal,JLPT JLPT_N4,nKx7m0Vnj8,sandaru
びっくりする,びっくりする,to be surprised,Genki Genki_Ln.21 JLPT JLPT_N4,Cr@7!m+n{m,bikkurisuru
うまい,うまい,delicious; skillful; fortunate,JLPT JLPT_N4,"C`4~Q!,KRn",umai
変える,かえる,"to change, to alter, to vary",JLPT JLPT_N4,x+80xLQg^-,kaeru
講堂,こうどう,auditorium,JLPT JLPT_N4,ktg9A%:iyA,koudou
子,こ,child,JLPT JLPT_N4,u.wVLBCC7[,ko
沸かす,わかす,to boil,JLPT JLPT_N4,"d,.x::f0>g",wakasu
レジ,レジ,register,JLPT JLPT_N4,m?VOxpy?_K,reji
しばらく,しばらく,little while,JLPT JLPT_N4,w1JlkP{0C8,shibaraku
特に,とくに,particularly,Intermediate_Japanese_Ln.3 JLPT JLPT_N4,Qf=L0@hP&F,tokuni
空く,あく,"to open, to become empty (vacant)",JLPT JLPT_N4,Cg0$u|Ogik,aku
計画,けいかくする,"plan, project, schedule",JLPT JLPT_N4,s2fE.u9}xk,keikakusuru
通り,とおり,"~ Street, ~ Avenue",JLPT JLPT_N4,QBI<)8t#SN,toori
下着,したぎ,underwear,JLPT JLPT_N4,tFl(JKOvJ3,shitagi
経済,けいざい,"economics, finance, economy",JLPT JLPT_N4,rJHgD<t_i_,keizai
こう,こう,"like this, this way",JLPT JLPT_N4,Q%+*%s6}J9,kou
是非,ぜひ,"certainly, by all means; without fail",Genki Genki_Ln.9 Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,kray(3KD^X,zehi
裏,うら,"reverse side, back",JLPT JLPT_N4,pQ2heE~587,ura
為,ため,"good, advantage, in order to",JLPT JLPT_N4,Fly+C7B(R*,tame
おいでになる,おいでになる,(hon.) to be,JLPT JLPT_N4,ok-j:Fq]#X,oideninaru
変わる,かわる,"to change (v.i.), to be transformed, to vary",Intermediate_Japanese_Ln.4 JLPT JLPT_N4,N?)pR_`l)L,kawaru
以外,いがい,"other than, with the exception of, excepting",Intermediate_Japanese_Ln.3 JLPT JLPT_N4,io5npAJ^ZJ,igai
済む,すむ,"to finish, to end",JLPT JLPT_N4,eQV4%/qxB),sumu
ハンバーグ,ハンバーグ,hamburger steak,JLPT JLPT_N4,zs3r)kO4N*,hanbaagu
市,し,city,JLPT JLPT_N4,rXed<x$qC(,shi
引き出し,ひきだし,drawer,JLPT JLPT_N4,tGG+yHdqmL,hikidashi
遊び,あそび,play,JLPT JLPT_N4,"O8zue,3OP7",asobi
支度,したくする,preparation,JLPT JLPT_N4,QsqU&|{INc,shitakusuru
～始める,～はじめる,to start doing ~,JLPT JLPT_N4,BA.Jz]NK1.,~hajimeru
見える,みえる,to be visible; -- polite verb meaning 来る (くる) --,Genki Genki_Ln.15 JLPT JLPT_N4,cEonZn&vE$,mieru
十分,じゅうぶん,enough,JLPT JLPT_N4,vgB;={Nvrv,juubun
音,おと,"sound, note",Genki Genki_Ln.20 JLPT JLPT_N4,y~nFfa-~?d,oto
きっと,きっと,"surely, definitely, undoubtedly, certainly",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,>[X6H]9HU,kitto
まず,まず,"first (of all), to start with",Genki Genki_Ln.18 JLPT JLPT_N4,b.U+m9N1DV,mazu
遠く,とおく,"far away, distant",JLPT JLPT_N4,P.EKUt5=[B,tooku
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),Intermediate_Japanese_Ln.15 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,PoQwq(:pGi,daitai
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)",JLPT JLPT_N4,"C>N,+q5aTm",oreru
正しい,ただしい,correct,JLPT JLPT_N4,ynVxN8fR|I,tadashii
輸入,ゆにゅう,import,JLPT JLPT_N4,c#?sbZfFpt,yunyuu
返事,へんじ,"reply, answer",JLPT JLPT_N4,KqUGjMWU_#,henji
都,と,metropolitan,JLPT JLPT_N4,OcM{?!kX-7,to
産業,さんぎょう,industry,JLPT JLPT_N4,r<I`MSX5aQ,sangyou
伝える,つたえる,"to convey (a message); to tell, to report",Genki Genki_Ln.20 Intermediate_Japanese_Ln.15 JLPT JLPT_N4,"z>dT,I0S3h",tsutaeru
お金持ち,かねもち; おかねもち,rich person,JLPT JLPT_N4,H?Z`hWb&65,kanemochi; okanemochi
説明,せつめい,explanation,JLPT JLPT_N4,jzx*<D-6cG,setsumei
島,しま,island,Intermediate_Japanese_Ln.5 JLPT JLPT_N4,AOZjwUDN5g,shima
道具,どうぐ,tool,JLPT JLPT_N4,Me$$/AnEcv,dougu
滑る,すべる,"to slide, to slip",JLPT JLPT_N4,nobw)6B/(-,suberu
それほど,それほど,to that degree; extent,JLPT JLPT_N4,tq|Owona;B,sorehodo
以上,いじょう,more than; this is all,JLPT JLPT_N4,kbfzlR:5u>,ijou
～まま,～まま,as it is,JLPT JLPT_N4,j#zKPMXsT3,~mama
特急,とっきゅう,limited express (train faster than an express),JLPT JLPT_N4,sOgOxrQFHN,tokkyuu
プレゼント,プレゼント,"present, gift",Genki Genki_Ln.12 JLPT JLPT_N4,FrsjD-2$(X,purezento
～(に) よると,～(に) よると,according to ~,JLPT JLPT_N4,erz+S2{yL|,~(ni) yoruto
妻,つま,wife (humble),JLPT JLPT_N4,pfL{;:Bm<O,tsuma
帰り,かえり,"return, coming back",JLPT JLPT_N4,A1{^9x(Ly$,kaeri
具合,ぐあい,"condition, state, health",JLPT JLPT_N4,Ha+Fpz*nIy,guai
堅; 硬; 固い,かたい,"solid, hard, firm",JLPT JLPT_N4,Qr]]OTGag7,katai
駐車場,ちゅうしゃじょう,parking lot,JLPT JLPT_N4,Q9!i44Gj}q,chuushajou
スーツ,スーツ,suit,JLPT JLPT_N4,"M~,%txA#EO",suutsu
危険,きけん,"danger, risk, hazard",Intermediate_Japanese_Ln.15 JLPT JLPT_N4,f#x=KD-)bk,kiken
髪,かみ,hair,Genki Genki_Ln.7 JLPT JLPT_N4,roFwJrlfKR,kami
天気予報,てんきよほう,weather forecast,Genki Genki_Ln.8 JLPT JLPT_N4,rN#1gCRiI^,tenkiyohou
彼女,かのじょ,girlfriend; she,Genki Genki_Ln.12 JLPT JLPT_N4,xL3J@WlS{%,kanojo
間,あいだ,"space, interval",JLPT JLPT_N4,MXEynMn6*x,aida
卒業,そつぎょう,graduation,JLPT JLPT_N4,yOSz]L8FJS,sotsugyou
それで,それで,"and (conj.), thereupon, because of that",JLPT JLPT_N4,rZ[:sRogcN,sorede
枝,えだ,"branch, twig",JLPT JLPT_N4,FAl}KCf:~8,eda
専門,せんもん,major; speciality,Genki Genki_Ln.1 JLPT JLPT_N4,k;2({qLOGz,senmon
そろそろ,そろそろ,"gradually, soon",JLPT JLPT_N4,Q|>K44^N++,sorosoro
送る,おくる,"to send, to dispatch",Genki Genki_Ln.14 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,e1#_xMS<)@,okuru
あげる,あげる,to give,JLPT JLPT_N4,w6NP$s|k?>,ageru
騒ぐ,さわぐ,"to make noise, to clamor",JLPT JLPT_N4,E-jyAQ+?xZ,sawagu
尋ねる,たずねる,to inquire (same as 質問する),JLPT JLPT_N4,B;}vj%?W%Z,tazuneru
放送,ほうそうする,broadcasting,JLPT JLPT_N4,HT(fAub[.Z,housousuru
政治,せいじ,politics,Genki Genki_Ln.1 Genki_Ln.12 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,LbbPDli%;(,seiji
市民,しみん,citizen,JLPT JLPT_N4,KnKdz8[G7<,shimin
ファックス,ファックス,fax,JLPT JLPT_N4,sG]9/N[j*>,fakkusu
負ける,まける,"to lose (a game) (v.i.), to be defeated",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,t-t/Tk%(SS,makeru
指輪,ゆびわ,(finger) ring,Genki Genki_Ln.14 JLPT JLPT_N4,By9Xq1v4J{,yubiwa
田舎,いなか,"rural, countryside",JLPT JLPT_N4,qO;XWK^*$*,inaka
見つける,みつける,"to discover, to find (v.t.)",Genki Genki_Ln.21 JLPT JLPT_N4,JSBDi~:Uul,mitsukeru
高校生,こうこうせい,high school student,Genki Genki_Ln.1 JLPT JLPT_N4,s|lGtGG1fi,koukousei
講義,こうぎ,a lecture,Intermediate_Japanese_Ln.5 JLPT JLPT_N4,q(32?ls(B3,kougi
そんなに,そんなに,"so much, like that",JLPT JLPT_N4,pG^h}ycj3(,sonnani
昼休み,ひるやすみ,"lunch break, noon recess",JLPT JLPT_N4,lFVXC$-X%0,hiruyasumi
忘れ物,わすれもの,"lost article, something forgotten",JLPT JLPT_N4,c>u.i{BBMW,wasuremono
下りる,おりる,"to get down, to go; come down",JLPT JLPT_N4,"d9,VKd=RU=",oriru
腕,うで,arm (in reference to body),Intermediate_Japanese_Ln.7 JLPT JLPT_N4,AiW}:.4@ze,ude
訳,わけ,reason; explanation,JLPT JLPT_N4,usS4^zwn[>,wake
承知,しょうちする,"consent, acceptance",JLPT JLPT_N4,H:BcaGHLGe,shouchisuru
日記,にっき,"diary, journal",Genki Genki_Ln.18 JLPT JLPT_N4,"BMMWqQZ#[,",nikki
高校; 高等学校,こうこう; こうとうがっこう,high school; senior high school,JLPT JLPT_N4,KKBE9#o7:F,koukou; koutougakkou
似る,にる,"to resemble, to be similar",JLPT JLPT_N4,i`_a~no4G!,niru
～おわる,～おわる,to finish doing ~,JLPT JLPT_N4,qwf(Try}@4,~owaru
暖房,だんぼう,heating,JLPT JLPT_N4,dvn`p4e0P6,danbou
留守,るす,absence; not at home,Genki Genki_Ln.21 JLPT JLPT_N4,BK(gHI]ze3,rusu
割合,わりあい,"rate, ratio, percentage",JLPT JLPT_N4,vGMwhqQc%{,wariai
寺,てら,Buddhist temple,JLPT JLPT_N4,Hiagec7p~[,tera
慣れる,なれる,to grow accustomed to,JLPT JLPT_N4,m30?cbGY7<,nareru
普通,ふつう,common; usual,Intermediate_Japanese_Ln.2 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,s:f#izD=u2,futsuu
手伝う,てつだう,to help,JLPT JLPT_N4,s_Pi8jG!6%,tetsudau
なるほど,なるほど,I see; I now understand,Intermediate_Japanese_Ln.6 JLPT JLPT_N4,b:e%Ujd8JZ,naruhodo
くださる,くださる,"(hon.) to give, to confer",JLPT JLPT_N4,sPmqOCO=cT,kudasaru
息子,むすこ,(humble) son,JLPT JLPT_N4,xE%1d@q~=0,musuko
お子さん,おこさん,(someone else's) child (polite),Genki Genki_Ln.19 JLPT JLPT_N4,JfH~5*U.a_,okosan
会場,かいじょう,"venue, meeting place",JLPT JLPT_N4,rYhMPU9-hG,kaijou
笑う,わらう,"to laugh, to smile",JLPT JLPT_N4,y~ow$kbx8M,warau
運ぶ,はこぶ,"to transport, to carry",Genki Genki_Ln.22 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,v9DX2R5H-S,hakobu
文学,ぶんがく,literature,Genki Genki_Ln.1 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,"lUX,?(3;D]",bungaku
光,ひかり,light,JLPT JLPT_N4,qZgkVt9uh<,hikari
お見舞い,おみまい,"calling on someone who is ill, visit",JLPT JLPT_N4,vi}b>#%^FD,omimai
席,せき,a seat,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,frRhF)UU}W,seki
～様,～さま,"Mr., Mrs., Ms.",JLPT JLPT_N4,JidByAlQoq,~sama
ご存じ,ごぞんじ,"knowing, acquaintance",JLPT JLPT_N4,k8%o+}YbEd,gozonji
下る,さがる,"to descend, to drop, to fall",JLPT JLPT_N4,oX|5UGkIW2,sagaru
字,じ,letter; character,Genki Genki_Ln.20 JLPT JLPT_N4,paD_A<.{(!,ji
アジア,アジア,Asia,JLPT JLPT_N4,"Q{IM`lB,o7",ajia
褒める,ほめる,to praise; to say nice things,Genki Genki_Ln.21 JLPT JLPT_N4,!.H?[6|B.,homeru
空く,すく,"to be empty (in reference to people), to be less crowded",JLPT JLPT_N4,fg<?z[S^C:,suku
あ,あ,Ah,JLPT JLPT_N4,qc]3W&Jc<m,a
最も,もっとも,most,JLPT JLPT_N4,TJ2Lm-F`{,mottomo
合う,あう,"to fit, to match",JLPT JLPT_N4,OAIc&<q]o$,au
～代,～だい,~ age; period,JLPT JLPT_N4,y4r%$Sls[D,~dai
最後,さいご,"last, end",JLPT JLPT_N4,P^V7$JoB=L,saigo
値段,ねだん,price,JLPT JLPT_N4,E3[j8aN}XJ,nedan
退院,たいいんする,leaving hospital,JLPT JLPT_N4,E-^*b8-xhX,taiinsuru
展覧会,てんらんかい,exhibition,JLPT JLPT_N4,PN~#oqMNRx,tenrankai
久しぶり,ひさしぶり,it has been a long time; for the first time in a long time,Genki Genki_Ln.11 Intermediate_Japanese_Ln.4 JLPT JLPT_N4,"J`#Y!H,,<%",hisashiburi
カーテン,カーテン,curtain,Genki Genki_Ln.18 JLPT JLPT_N4,NFW!?qkYyo,kaaten
汽車,きしゃ,train (steam),JLPT JLPT_N4,KH0a_3!CiN,kisha
遅れる,おくれる,to (be) become late,Genki Genki_Ln.19 Intermediate_Japanese_Ln.2 JLPT JLPT_N4,rDxLnq^]Ph,okureru
見つかる,みつかる,"to be found (v.i.), to be discovered",JLPT JLPT_N4,b>m8LlfHOm,mitsukaru
召し上がる,めしあがる,-- honorific form of 食べる (たべる) and 飲む (のむ) --,Genki Genki_Ln.19 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,Fa=r1a7`zE,meshiagaru
太る,ふとる,to gain weight,Genki Genki_Ln.7 JLPT JLPT_N4,BN&?E=z3*H,futoru
注射,ちゅうしゃ,injection,JLPT JLPT_N4,lG`+>+=?Os,chuusha
様,よう,"way, manner, kind",JLPT JLPT_N4,t[MNQO-W6,you
～おき,～おき,after every ~,JLPT JLPT_N4,ISv;l<*PQR,~oki
最初,さいしょ,"beginning, first",JLPT JLPT_N4,uJfgbAk&PM,saisho
御～,ご～,honorable ~,JLPT JLPT_N4,b?YXE$9w]A,go~
安心,あんしん,"peace of mind, relief",JLPT JLPT_N4,C^vt]hY6vW,anshin
直る,なおる,to be fixed,JLPT JLPT_N4,wOi%P<vl?O,naoru
集める,あつめる,"to collect, to gather (v.t.), to assemble",Genki Genki_Ln.16 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,OW4zN$vq<h,atsumeru
直す,なおす,to correct (v.t.); to fix,Genki Genki_Ln.16 JLPT JLPT_N4,g9g}aXNY+w,naosu
続く,つづく,to be continued,JLPT JLPT_N4,"I,82^s2,ha",tsuzuku
先輩,せんぱい,senior members of a group,Genki Genki_Ln.22 JLPT JLPT_N4,iQ7T^oqMw-,senpai
約束,やくそく,"arrangement, appointment, promise",Genki Genki_Ln.13 JLPT JLPT_N4,gG#1gGEk5+,yakusoku
世話,せわする,looking after; to look after,JLPT JLPT_N4,u{y[j%Z9W2,sewasuru
近所,きんじょ,neighborhood,JLPT JLPT_N4,hCRlD3m.g(,kinjo
将来,しょうらい,(in the) future; prospects,Genki Genki_Ln.11 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,y@QKAOSu|U,shourai
億,おく,hundred million,JLPT JLPT_N4,iX-FN@Kj?p,oku
数学,すうがく,mathematics,JLPT JLPT_N4,EO5o6*tgn9,suugaku
文化,ぶんか,culture,Genki Genki_Ln.19 JLPT JLPT_N4,z%ky|Q={QQ,bunka
払う,はらう,to pay,Genki Genki_Ln.10 Intermediate_Japanese_Ln.3 JLPT JLPT_N4,i~kIT)jn~k,harau
習慣,しゅうかん,custom (in reference to culture),JLPT JLPT_N4,v)1shr#hf=,shuukan
焼ける,やける,"to burn, to be roasted",JLPT JLPT_N4,ws>!BOMOtu,yakeru
君,きみ,you (informal for men),JLPT JLPT_N4,P|5<lpF.:2,kimi
冷える,ひえる,"to grow cold, to cool down",JLPT JLPT_N4,np-S*rxEi@,hieru
点く,つく,"to be started, to be switched on",JLPT JLPT_N4,s+|BHBlyTh,tsuku
この間,このあいだ,"the other day, recently",Genki Genki_Ln.16 JLPT JLPT_N4,c(L)|Hc$oD,konoaida
