kanji,furigana,meaning,tags,guid,romaji
今度,こんど,"now, this time, near future, one of these days, next time",Genki Genki_Ln.9 JLPT JLPT_N4,"c3M,%sgpuH",kondo
機会,きかい,"chance, opportunity",JLPT JLPT_N4,QN(r}6a#1P,kikai
建てる,たてる,to build,JLPT JLPT_N4,p>?r}3Zl{s,tateru
複雑,ふくざつ,"complexity, complication",JLPT JLPT_N4,CH}=lqHM1.,fukuzatsu
彼,かれ,"he, boyfriend",Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t}ZPEKulM{,kare
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",Genki Genki_Ln.19 JLPT JLPT_N4,q4xt(yor`^,irassharu
布団,ふとん,futon,JLPT JLPT_N4,o9cl6;pq_D,futon
大事,だいじ,"important, valuable, serious matter",JLPT JLPT_N4,K-;(kx?ed|,daiji
贈り物,おくりもの,a gift; a present,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,ea]7XukKd^,okurimono
泥棒,どろぼう,thief; burglar,Genki Genki_Ln.21 JLPT JLPT_N4,q/[sonb>SP,dorobou
～製,～せい,made in ~,JLPT JLPT_N4,I|]_Gf;YLD,~sei
注意,ちゅうい,"caution, attention",JLPT JLPT_N4,tSqn:MggQx,chuui
台風,たいふう,typhoon,Genki Genki_Ln.16 JLPT JLPT_N4,uFiu<};|%T,taifuu
日,ひ,"sun, sunshine, day",Genki Genki_Ln.16 JLPT JLPT_N4,Ap$ELNr5>B,hi
～軒,～けん,counter for houses,JLPT JLPT_N4,"KbFf,NH{5y",~ken
そう,そう,"really, (is that) so; yes, right",JLPT JLPT_N4,wr0#d-auwR,sou
通る,とおる,"to pass (by), to go through",JLPT JLPT_N4,z?tZP}u#Ea,tooru
過ぎる,すぎる,"to exceed, to go beyond",JLPT JLPT_N4,O_}jg<!z1-,sugiru
レポート; リポート,レポート; リポート,report,JLPT JLPT_N4,xai}>:G-4a,repooto; ripooto
葉,は,leaf,JLPT JLPT_N4,xQbxW<V1k4,ha
必要,ひつよう,necessary,JLPT JLPT_N4,ty_M]/QA_N,hitsuyou
課長,かちょう,section manager,Intermediate_Japanese_Ln.7 JLPT JLPT_N4,Q;5M-:Rtr;,kachou
地震,じしん,earthquake,Genki Genki_Ln.15 JLPT JLPT_N4,DGTtnnC4Nd,jishin
すると,すると,"and, then",JLPT JLPT_N4,Fz>2(<Q3D%,suruto
止める,やめる,"to end, to stop",JLPT JLPT_N4,w08D;C[*x`,yameru
ガラス,ガラス,"glass, pane",JLPT JLPT_N4,Wl!XdU*F<,garasu
～学部,～がくぶ,department of a university,JLPT JLPT_N4,qq2at6CGnZ,~gakubu
厳しい,きびしい,hard; rigorous; strict,Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,pjG^I!L.;w,kibishii
エスカレーター,エスカレーター,escalator,JLPT JLPT_N4,y6e9BNnN(6,esukareetaa
人口,じんこう,population,Intermediate_Japanese_Ln.4 JLPT JLPT_N4,h:04.`><%U,jinkou
